Companies,Websites,Solutions,Place of Registration,Ownership 
Intelligentias Inc.,,"Lawful Interception, Data Retention",USA,N/A
Narus,,"Real-Time IP Traffic Monitoring, Traffic Intelligence, Deep Packet Inspection (DPI)",USA,"Boeing, USA"
NETOPTICS,,Access and Monitoring Architecture,USA,N/A
NETRAGARD,,Exploits,USA,N/A
Netquest Corporation,,"Monitoring, Interception",USA,N/A
NetWitness,,Internet Monitoring ,USA,N/A
ONPATH Technologies,,Lawful Interception,USA,N/A
Pen Link,,Collection & Recording of Intercepted Communication,USA,N/A
Phoenix,,Speech Recognition,USA,N/A
Polaris Wireless,,Lawful Interception,USA,N/A
retentia,,Data Retention,USA,N/A
REUTER,,Recording Systems for Communication Surveillance,USA,N/A
SS8 Networks,,"Lawful Interception, Monitoring Center",USA,N/A
TraceSpan Communications,,Broadband Analysis and Monitoring,USA,N/A
Ultrareach,,Ultrasurf ,USA,N/A
VERINT (formerly: Comverse Infosys),,Lawful Interception,USA,NASDAQ: VRNT 
Vineyard Networks,,"Lawful Interception, Decryption",USA,N/A
"VOCAL Technologies, Inc.",,Lawful Interception ,USA,N/A
OMNI Wildpackets,,"Lawful Interception, VoIP Monitoring",USA,N/A
Seartech,,Tactical Surveillance Electronics,ZAF,N/A
VASTech,,"Network Recording, Passive Surveillance, Strategic Interception",ZAF,N/A
